"symbol","N","Z","alpha_0(BG)","alpha_0(TS)","C6(BG)","C6(TS)","R_vdw(TS)","alpha_0(TSsurf)","C6(TSsurf)","R_vdw(TSsurf)"
"No",102,102,,105.4,,1578.18,3.78,,,
"H-",2,1,7.373680343,,19,,,,,
"He+",1,2,0.293937405,,0.109,,,,,
"Li2+",1,3,0.056775552,,0.009,,,,,
"Li+",2,3,0.193006642,,0.079,,,,,
"Li-",4,3,161.4973949,,1970,,,,,
"Be3+",1,4,0.014192453,,0.001,,,,,
"Be2+",2,4,0.011999948,,0.001,,,,,
"Be+",3,4,24.50516902,,70.3,,,,,
"B3+",2,5,0.014900944,,0.002,,,,,
"B2+",3,5,5.688435859,,6.89,,,,,
"B+",4,5,9.669429754,,25.2,,,,,
"B-",6,5,32.94459575,,232,,,,,
"B2-",7,5,39.09419167,,335,,,,,
"C3+",3,6,2.724674725,,2.04,,,,,
"C2+",4,6,3.83951097,,5.71,,,,,
"C+",5,6,5.65958813,,13.3,,,,,
"C-",7,6,15.47372585,,81.7,,,,,
"C2-",8,6,16.59454089,,99.4,,,,,
"N3+",4,7,2.075194997,,2.07,,,,,
"N2+",5,7,2.429932255,,3.37,,,,,
"N+",6,7,3.679611674,,8.02,,,,,
"N-",8,7,8.038142248,,33.1,,,,,
"N2-",9,7,8.69356866,,40.3,,,,,
"O3+",5,8,1.641345237,,1.7,,,,,
"O2+",6,8,1.670113611,,2.26,,,,,
"O+",7,8,2.55017906,,5.27,,,,,
"O-",9,8,5.397512671,,19.1,,,,,
"O2-",10,8,5.854527161,,23.1,,,,,
"F3+",6,9,1.090746069,,1.09,,,,,
"F2+",7,9,1.220025684,,1.66,,,,,
"F+",8,9,1.779978507,,3.44,,,,,
"F-",10,9,14.99716298,,73.5,,,,,
"Ne3+",7,10,0.762635208,,0.769,,,,,
"Ne2+",8,10,0.957907094,,1.34,,,,,
"Ne+",9,10,1.442870778,,2.75,,,,,
"Na3+",8,11,0.454147769,,0.427,,,,,
"Na2+",9,11,0.602372154,,0.756,,,,,
"Na+",10,11,0.930024701,,1.54,,,,,
"Na-",12,11,196.6030834,,2900,,,,,
"Mg3+",9,12,0.31933305,,0.293,,,,,
"Mg2+",10,12,0.429992674,,0.504,,,,,
"Mg+",11,12,35.00075273,,155,,,,,
"Al3+",10,13,0.209736674,,0.176,,,,,
"Al2+",11,13,10.43015723,,24.8,,,,,
"Al+",12,13,19.58103334,,89.7,,,,,
"Al-",14,13,109.3886595,,1555,,,,,
"Al2-",15,13,137.8200082,,2443,,,,,
"Si3+",11,14,5.429052612,,9.07,,,,,
"Si2+",12,14,9.403660719,,29.2,,,,,
"Si+",13,14,18.21186275,,94.8,,,,,
"Si-",15,14,59.58015424,,698,,,,,
"Si2-",16,14,63.67248441,,837,,,,,
"P3+",12,15,5.490121249,,12.6,,,,,
"P2+",13,15,8.963551873,,31.9,,,,,
"P+",14,15,14.26400876,,74.1,,,,,
"P-",16,15,33.70775557,,322,,,,,
"P2-",17,15,36.66324598,,392,,,,,
"S3+",13,16,5.734378849,,15.8,,,,,
"S2+",14,16,8.132050649,,31.1,,,,,
"S+",15,16,11.91960945,,62.2,,,,,
"S-",17,16,24.12488848,,206,,,,,
"S2-",18,16,26.27678476,,249,,,,,
"Cl3+",14,17,4.984146343,,14.5,,,,,
"Cl2+",15,17,6.681717015,,25.5,,,,,
"Cl+",16,17,9.268911171,,46.1,,,,,
"Cl-",18,17,30.30050308,,276,,,,,
"Ar3+",15,18,4.14007494,,12.1,,,,,
"Ar2+",16,18,5.269969824,,19.4,,,,,
"Ar+",17,18,7.275705992,,34.2,,,,,
"K3+",16,19,2.967513561,,8.03,,,,,
"K2+",17,19,3.80033411,,12.8,,,,,
"K+",18,19,5.049985463,,21,,,,,
"K-",20,19,381.8190955,,8220,,,,,
